Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_group,Deck,Title,FamilySize,IsAlone
0,T,0,22.0,1,0,7.25,S,Young Adult,U,Mr,2,0
1,F,1,38.0,1,0,71.2833,C,Adult,C,Mrs,2,0
1,T,1,26.0,0,0,7.925,S,Young Adult,U,Miss,1,1
1,F,1,35.0,1,0,53.1,S,Young Adult,C,Mrs,2,0
0,T,0,35.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,T,0,28.0,0,0,8.4583,Q,Young Adult,U,Mr,1,1
0,F,0,54.0,0,0,51.8625,S,Adult,E,Mr,1,1
0,T,0,2.0,3,1,21.075,S,Child,U,Master,5,0
1,T,1,27.0,0,2,11.1333,S,Young Adult,U,Mrs,3,0
1,S,1,14.0,1,0,30.0708,C,Teenager,U,Mrs,2,0
1,T,1,4.0,1,1,16.7,S,Child,G,Miss,3,0
1,F,1,54.0,0,0,26.55,S,Adult,C,Miss,1,1
0,T,0,20.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,T,0,39.0,1,5,31.275,S,Adult,U,Mr,7,0
0,T,1,14.0,0,0,7.8542,S,Teenager,U,Miss,1,1
1,S,1,54.0,0,0,16.0,S,Adult,U,Mrs,1,1
0,T,0,2.0,4,1,29.125,Q,Child,U,Master,6,0
1,S,0,28.0,0,0,13.0,S,Young Adult,U,Mr,1,1
0,T,1,31.0,1,0,18.0,S,Young Adult,U,Mrs,2,0
1,T,1,28.0,0,0,7.225,C,Young Adult,U,Mrs,1,1
0,S,0,35.0,0,0,26.0,S,Young Adult,U,Mr,1,1
1,S,0,34.0,0,0,13.0,S,Young Adult,D,Mr,1,1
1,T,1,15.0,0,0,8.0292,Q,Teenager,U,Miss,1,1
1,F,0,28.0,0,0,35.5,S,Young Adult,A,Mr,1,1
0,T,1,8.0,3,1,21.075,S,Child,U,Miss,5,0
1,T,1,38.0,1,5,31.3875,S,Adult,U,Mrs,7,0
0,T,0,28.0,0,0,7.225,C,Young Adult,U,Mr,1,1
0,F,0,19.0,3,2,112.07915,S,Young Adult,C,Mr,6,0
1,T,1,28.0,0,0,7.8792,Q,Young Adult,U,Miss,1,1
0,T,0,28.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
0,F,0,40.0,0,0,27.7208,C,Adult,U,Don,1,1
1,F,1,28.0,1,0,112.07915,C,Young Adult,B,Mrs,2,0
1,T,1,28.0,0,0,7.75,Q,Young Adult,U,Miss,1,1
0,S,0,54.0,0,0,10.5,S,Elderly,U,Mr,1,1
0,F,0,28.0,1,0,82.1708,C,Young Adult,U,Mr,2,0
0,F,0,42.0,1,0,52.0,S,Adult,U,Mr,2,0
1,T,0,28.0,0,0,7.2292,C,Young Adult,U,Mr,1,1
0,T,0,21.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,T,1,18.0,2,0,18.0,S,Teenager,U,Miss,3,0
1,T,1,14.0,1,0,11.2417,C,Teenager,U,Miss,2,0
0,T,1,40.0,1,0,9.475,S,Adult,U,Mrs,2,0
0,S,1,27.0,1,0,21.0,S,Young Adult,U,Mrs,2,0
0,T,0,28.0,0,0,7.8958,C,Young Adult,U,Mr,1,1
1,S,1,3.0,1,2,41.5792,C,Child,U,Miss,4,0
